"PERMIT_NO","APPLIED_DATE","APPROVED_DATE","ISSUED_DATE","FINALED_DATE","EXPIRED_DATE","PARENT_PROJECT_NO","PARENT_PERMIT_NO","PermitType","PermitSubType","STATUS","ZONING_CODE1","ZONING_CODE2","SITE_SUBDIVISION","SITE_DESCRIPTION","SITE_APN","SITE_ADDR","SITE_UNIT_NO","SITE_CITY","SITE_ZIP","DESCRIPTION","NOTES","JOBVALUE","FEES_CHARGED","FEES_PAID","CONTRACTOR_NAME","LONGITUDE","LATITUDE"
"MECH20-1837","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-10-15 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","BARNARD HEIGHTS","","09-09-31-418-010","1509 MAYWOOD AVE","","Ann Arbor","48103","Replace Air handler and A/C","","0","130","130","Indoor Comfort Co","-83.76578","42.26178"
"MECH20-1848","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2021-01-28 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","LANSDOWNE","","09-12-06-103-003","2061 S SEVENTH ST","","Ann Arbor","48103","Install gtas insert into existing w/ gas line","","0","185","185","Chelsea Hearth & Fireplaces Inc","-83.76037","42.25548"
"MECH20-1849","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","MECHANICAL","MECHANICAL","EXPIRED","R3","","","","09-09-18-400-032","2164 OVERLOOK CT","","Ann Arbor","48103","Replace furnace","","0","100","100","Koch & White","-83.76353","42.30277"
"MECH20-1854","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-03 00:00:00","","2021-04-03 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1C","","","","09-09-15-103-004","2765 NIXON RD","","Ann Arbor","48105","Replace furnace","","0","100","100","CMR MECHANICAL LLC","-83.70797","42.31333"
"PLUM20-1315","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","","2021-04-11 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R1D","","HAMILTON ROSE AND","","09-09-33-329-022","1429 GOLDEN AVE","","Ann Arbor","48104","Replace water service and water heater","(9/15/2020 9:01 AM JHY)
water heater added to permit","0","80","80","Hutzel Plumbing & Heating","-83.73584","42.26296"
"PLUM20-1316","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-15 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-09-33-313-034","1446 ASTOR AVE","","ANN ARBOR","48104","Replace water heater","","0","65","65","Ostlund A Serv Co LLC","-83.73116","42.25829"
"PLUM20-1317","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-01 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-09-33-313-034","1449 WISTERIA DR","","ANN ARBOR","48104","Replace water heater","","0","65","65","Ostlund A Serv Co LLC","-83.73116","42.25829"
"PLUM20-1318","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-08 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-09-33-313-033","1251 WISTERIA DR","","ANN ARBOR","48104","Replace water heater","","0","65","65","Ostlund A Serv Co LLC","-83.73418","42.25895"
"PLUM20-1318","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-08 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-09-33-313-033","1251 WISTERIA DR","","ANN ARBOR","48104","Replace water heater","","0","65","65","Ostlund A Serv Co LLC","-83.73434","42.25779"
"PLUM20-1319","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-08 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-09-33-313-034","1428 ASTOR AVE","","ANN ARBOR","48104","Replace water heater","","0","65","65","Ostlund A Serv Co LLC","-83.73116","42.25829"
"PLUM20-1320","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-01 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-09-33-313-034","1450 ASTOR AVE","","ANN ARBOR","48104","Replace water heater","","0","65","65","Ostlund A Serv Co LLC","-83.73116","42.25829"
"PLUM20-1321","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-08 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-09-33-313-034","1467 WISTERIA DR","","ANN ARBOR","48104","Replace water heater","","0","65","65","Ostlund A Serv Co LLC","-83.73116","42.25829"
"PLUM20-1322","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-01 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-09-33-313-033","1815 WOODBURY DR","","ANN ARBOR","48104","Replace water heater","","0","65","65","Ostlund A Serv Co LLC","-83.73418","42.25895"
"PLUM20-1322","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-01 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-09-33-313-033","1815 WOODBURY DR","","ANN ARBOR","48104","Replace water heater","","0","65","65","Ostlund A Serv Co LLC","-83.73434","42.25779"
"PLUM20-1323","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-12-15 00:00:00","","","BLDG20-1104","PLUMBING","PLUMBING","FINALED","","","ASSESSOR'S PLAT NO","","09-09-29-218-012","622 MILLER AVE","","Ann Arbor","48103","Kitchen and bathroom remodel","","0","210","210","Genson's Plumbing","-83.75483","42.28515"
"PLUM20-1324","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","","2021-02-21 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R1C","","WESTRIDGE","","09-09-19-401-021","1001 MORNINGSIDE DR","","Ann Arbor","48103","Replace meter valves","","0","65","65","Hutzel Plumbing & Heating","-83.76757","42.29035"
"SOIL20-0121","2020-08-21 00:00:00","2020-09-21 00:00:00","","","","","","SOIL EROSION","RESIDENTIAL","APPROVED","R2A","","OLIVIA B. HALL SUB","","09-09-33-225-002","911 OLIVIA AVE","","Ann Arbor","48104","Replace landscaping","","0","350","0","Michigan Hardscape LLC","-83.7311","42.27114"
"TCP20-0680","2020-08-21 00:00:00","2020-08-26 00:00:00","2020-08-26 00:00:00","","2020-09-01 00:00:00","","ROW20-0874","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","C1A/R","","","","09-09-21-302-119","1100 BROADWAY ST","","Ann Arbor","48105","Lane Closure EB Broadway Right Lane Between AMTRAK and Swift","(8/21/2020 9:33 AM KK1)
Right Lane Closure at manhole locations on EB Broadway Bridge over Huron River.  Work Truck with compressor will be parked in the right lane to allow access to Existing MCI Manholes to inspect and proof existing UG conduit.  Cones, signs, lighted arrow board in accord with MMUTCD standards will be utilized.  TMI will set up closure.  William Beard is on-site contact:  734-477-0360.

(8/25/2020 8:20 AM MB)
sent payment coversheet.","0","38.75","38.75","HENKELS & MCCOY","",""
"ROW20-1066","2020-08-21 00:00:00","2021-02-12 00:00:00","","","","","","RIGHT OF WAY","SERVICE LEAD","APPROVED","R1A","","HUNTINGTON WOODS N","","09-09-27-401-016","309 RIVERVIEW DR","","Ann Arbor","48104","NEW GAS SERVICE LINE","(8/25/2020 11:59 AM MB)
Michelle,

We will be digging a hole approx. 9 sq ft to expose the gas main.
This hole will be located in the greenbelt.

Joe

(2/12/2021 3:34 PM MB)
It was found during a recent audit that this ROW permit was never paid for.  Please submit payment info so we can close this permit out and you will not owe the City any fees.  Any non-paid permit could result in no more permits approved until payment is received. 

Any questions please let us know.","0","280","0","","-83.70879","42.27806"
"ROW20-1067","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-04 00:00:00","","2021-09-04 00:00:00","","","RIGHT OF WAY","CABLE (NON-METRO ACT)","ISSUED","R2B","","BALDWIN'SPLAT OFPI","","09-09-28-407-002","1550 WASHTENAW AVE","","Ann Arbor","48104","COMCAST PROPOSES THE UNDERGROUND INSTALLATION OF 137'","(8/21/2020 1:52 PM KK1)
(0' INSIDE AA ROW) OF COAXIAL CABLE IN CONDUIT BY DIRECTIONAL BORE ALONG THE NORTH SIDE OF HILL ST & LINCOLN, FOR A FORCE RELOCATE PROJECT TO MAINTAIN SERVICE TO 1550 WASHTENAW AVE.

(8/21/2020 3:44 PM AH)
Work is outside of the PROW.","0","0","0","COMCAST","-83.72935","42.27272"
"ROW20-1068","2020-08-21 00:00:00","2020-09-02 00:00:00","2020-09-02 00:00:00","","2021-09-02 00:00:00","CVLC19-014","","RIGHT OF WAY","UTILITY MAIN - REPAIR","ISSUED","PL","","","U OF M MEDICAL SCIENCE BUILDING 1","09-09-28-215-001","1301 CATHERINE ST","","Ann Arbor","48109","CLOSE NORTH LANE OF CATHERINE @ ZINA PITCHER, SHUT DOWN,","(8/21/2020 2:43 PM KK1)
REMOVE ESIXTING WATER AND UPGRADE NEW 12"

(8/21/2020 2:49 PM KK1)
emailed contractor for plans.

(8/21/2020 4:27 PM KK1)
Permit on hold, emailed for clarifiation

(8/26/2020 12:01 PM ANWR)
This permit is related the UM-Medical Utilities project, CVLP19-015","0","0","0","EAGLE EXCAVATION, INC.","-83.73345","42.2842"
"ROW20-1069","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-04 00:00:00","","2021-09-04 00:00:00","CVLC20-014","","RIGHT OF WAY","UTILITY MAIN - NEW","ISSUED","D2","","ANN ARBOR LAND COM","LAND PARCEL FOR THE STANDARD AT ANN ARBOR","09-09-29-429-018","405 S MAIN ST","","Ann Arbor","48104","INSTALL STORM SEWER, REMOVE AND REPLACE WALKSS, CURBS,","(8/21/2020 2:52 PM KK1)
ASPHALT & DRIVE APPROACHS, BARRICADE S

(9/4/2020 8:03 AM AH)
Private Development Project - The Standard.  No fees.
CVLP20-006

(9/4/2020 11:02 AM TK)
This permit may be issued.  Private Development project.  No fees.

Alison Heatley, Private Development Coordinator
City of Ann Arbor | Guy C. Larcom City Hall | 301 E. Huron, 4th Floor · Ann Arbor · MI · 48104 
734.794.6410 (O) · | Internal Extension 43621 
aheatley@a2gov.org | www.a2gov.org","0","0","0","EAGLE EXCAVATION, INC.","-83.74841","42.27726"
"ZCOM20-0214","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-12 00:00:00","","","","","ZONING COMPLIANCE","FENCE","ISSUED","R1C","","KIMBERLEY HILLS","","09-12-03-305-009","2779 KIMBERLEY RD","","Ann Arbor","48104","Install 56' of 4ft treated wood fence along side of property","","0","75","75","All Arbor Custom Fence","-83.71623","42.24851"
"ROW20-1071","2020-08-24 00:00:00","2020-09-01 00:00:00","2020-09-01 00:00:00","","2021-09-01 00:00:00","","","RIGHT OF WAY","SERVICE LEAD","ISSUED","R1A","","HUNTINGTON WOODS N","","09-09-27-401-016","309 RIVERVIEW DR","","Ann Arbor","48104","New gas service","(9/1/2020 3:59 PM AH)
From: Joseph T Galante <joseph.galante@dteenergy.com> 
Sent: Tuesday, September 01, 2020 2:09 PM
To: CustomerService <customerservice@a2gov.org>
Subject: Re: ROW20-1071


There will NOT be any trees impacted by this work.","0","315","315","DTE ENERGY - GAS","-83.70879","42.27806"
"SOIL20-0123","2020-08-24 00:00:00","2020-09-15 00:00:00","2020-09-25 00:00:00","","2021-03-24 00:00:00","","BLDG20-1399","SOIL EROSION","RESIDENTIAL","ISSUED","","","ASSESSOR'S PLAT NO","","09-09-33-105-031","1020 FERDON RD","","Ann Arbor","48104","14 X 53 inground swimming pool","(9/8/2020 1:40 PM PSTP)
need owner signatures","0","350","350","Blue Hawaiian Pools of Michigan LLC","-83.7258","42.26936"
"SIGN20-0065","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-25 00:00:00","","2021-02-21 00:00:00","","BLDG20-1395","SIGN","SIGN","ISSUED","","","ASSESSOR'S PLAT NO","HIGH PROFILE","09-09-32-100-006","617 PACKARD ST","","Ann Arbor","48104","HIGH PROFILE: Awning and sign install","","0","100","100","4 Tech Signs","-83.74108","42.27145"
"PLUM20-1328","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-09-02 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R4C","","","","09-09-29-413-011","550 S ASHLEY ST","","Ann Arbor","48103","Replace meter valves","","0","65","65","A2 Plumbing","-83.75047","42.27456"
"PLUM20-1330","2020-08-24 00:00:00","2020-10-15 00:00:00","2020-10-15 00:00:00","","2021-04-13 00:00:00","","BLDG20-1267","PLUMBING","PLUMBING","ISSUED","","","LAUREL HILLS SUBDI","","09-09-31-406-002","1409 NORMANDY RD","","Ann Arbor","48103","Add exterior drain system to foundation walls","Hold for BLDG","0","115","115","South Lyon Plumbing","-83.7644","42.25909"
"MECH20-1855","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-09-30 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1D","","BROCK COURT","","09-09-33-407-032","1927 BROCK CT","","Ann Arbor","48104","Duct distribution and bath fan","","0","140","140","I D C Heating & Cooling","-83.72647","42.25823"
"MECH20-1857","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-10-15 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1D","","OAK CREST","","09-09-32-225-013","507 BERKLEY AVE","","Ann Arbor","48103","Replace Furnace","","0","100","100","Pat Walters & Sons","-83.75344","42.26548"
"MECH20-1862","2020-08-24 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-10 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R3","","","","09-09-33-313-033","1235 ASTOR AVE 324","324","ANN ARBOR","48104","Replace A/C unit","","0","90","90","J & K Mechanical Services","-83.73418","42.25895"
"MECH20-1862","2020-08-24 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-10 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R3","","","","09-09-33-313-033","1235 ASTOR AVE 324","324","ANN ARBOR","48104","Replace A/C unit","","0","90","90","J & K Mechanical Services","-83.73434","42.25779"
"MECH20-1864","2020-08-24 00:00:00","2020-09-21 00:00:00","2020-09-21 00:00:00","","2021-03-20 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","D1","","","","09-09-29-142-006","114 S MAIN ST","","Ann Arbor","48104","Replace existing RTU","","0","185","185","Robertson Morrison Inc","-83.74896","42.28092"
"MECH20-1865","2020-08-24 00:00:00","2020-09-21 00:00:00","2020-09-21 00:00:00","","2021-04-26 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","PL","","","ANN ARBOR HANDS ON MUSEUM","09-09-29-126-012","220 E ANN ST","","ANN ARBOR","48103","Replace existing RTU","","0","220","220","Robertson Morrison Inc","-83.74633","42.28183"
"ELEC20-2026","2020-08-24 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","","2021-02-21 00:00:00","","BLDG20-1395","ELECTRICAL","ELECTRICAL","ISSUED","","","ASSESSOR'S PLAT NO","HIGH PROFILE","09-09-32-100-006","617 PACKARD ST","","Ann Arbor","48104","HIGH PROFILE: Awning and sign install","","0","75","75","4 Tech Signs","-83.74108","42.27145"
"ELEC20-2027","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-10-09 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R1D","","WILDER ADDITION","","09-09-32-205-020","120 W HOOVER AVE","","Ann Arbor","48103","Reset outlet in basement","","0","92","92","Dan Wood Plumbing & Heating","-83.75096","42.26976"
"ELEC20-2031","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-10-16 00:00:00","","","MECH20-1857","ELECTRICAL","ELECTRICAL","FINALED","","","OAK CREST","","09-09-32-225-013","507 BERKLEY AVE","","Ann Arbor","48103","Replace Furnace","","0","75","75","Pat Walters & Sons","-83.75344","42.26548"
"ELEC20-2036","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-26 00:00:00","","","MECH20-0595","ELECTRICAL","ELECTRICAL","FINALED","","","BOULEVARD HEIGHTS","","09-09-30-210-011","269 COLLINGWOOD DR","","Ann Arbor","48103","minisplit reconnect","","0","75","75","Haley Mechanical","-83.77785","42.27865"
"ELEC20-2037","2020-08-24 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-10 00:00:00","","","MECH20-1862","ELECTRICAL","ELECTRICAL","FINALED","R3","","","","09-09-33-313-033","1235 ASTOR AVE 324","324","ANN ARBOR","48104","Replacing A/C unit","","0","75","75","J & K Mechanical Services","-83.73418","42.25895"
"ELEC20-2037","2020-08-24 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-10 00:00:00","","","MECH20-1862","ELECTRICAL","ELECTRICAL","FINALED","R3","","","","09-09-33-313-033","1235 ASTOR AVE 324","324","ANN ARBOR","48104","Replacing A/C unit","","0","75","75","J & K Mechanical Services","-83.73434","42.25779"
"ELEC20-2038","2020-08-24 00:00:00","","","","","","","ELECTRICAL","SOLAR","CANCELLED","R1C","","","","","","","","","13 solar panel electric array","(9/14/2020 11:08 AM JHY)
Duplicate Permit App Entry - SEE ELEC20-2167","0","15","0","YORK SERVICES INC","",""
"BLDG20-1395","2020-08-24 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","","2021-02-21 00:00:00","","","BUILDING","COMM ADD/ALT","ISSUED","C1A","","ASSESSOR'S PLAT NO","HIGH PROFILE","09-09-32-100-006","617 PACKARD ST","","Ann Arbor","48104","HIGH PROFILE: Awning and sign install","(8/25/2020 2:33 PM JHY)
emailed for payment.  once recieved, permits can be issued (SIGN/BLDG/ELEC)

(8/25/2020 7:13 PM JHY)
payment was rcvd","5000","195","195","4 Tech Signs","-83.74108","42.27145"
"BLDG20-1397","2020-08-24 00:00:00","2020-09-03 00:00:00","2020-09-03 00:00:00","2020-12-15 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R3","","","","09-09-35-302-071","1913 BOULDER DR","","Ann Arbor","48104","Construct deck in rear of house","","12950","359","359","Downhome Construction LLC","-83.69373","42.26258"
"BLDG20-1399","2020-08-24 00:00:00","2020-09-24 00:00:00","2020-09-25 00:00:00","","2021-03-30 00:00:00","","","BUILDING","POOL","ISSUED","R1B","","ASSESSOR'S PLAT NO","","09-09-33-105-031","1020 FERDON RD","","Ann Arbor","48104","14 X 33 inground swimming pool","(8/27/2020 4:32 PM MCFR)
Hold for grading

(9/22/2020 2:02 PM MCFR)
Grading approved

(9/24/2020 2:32 PM JHY)
emailed approval and for payment-okay to issue permit and POST APPROVED SITE COPY once paid","61390","872.60000000000002","872.60000000000002","Blue Hawaiian Pools of Michigan LLC","-83.7258","42.26936"
"TCP20-0682","2020-08-24 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","","2020-08-27 00:00:00","","","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","O","","EASTOVER HILLS NO.","","09-12-04-120-013","2225 PACKARD ST 1","1","Ann Arbor","48104","For DTE joint use crew","(8/24/2020 4:08 PM AMKR)
MUTCD lane closure

(8/25/2020 8:18 AM MB)
sent payment coversheet.","0","38.75","38.75","UNIVERSAL CONTRACTING SERVICES","-83.72532","42.25542"
"TCP20-0683","2020-08-24 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","","2020-08-28 00:00:00","","ROW20-1043","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","R1C","","FRISINGER LAND COM","","09-09-33-312-010","1308 E STADIUM BLVD","","Ann Arbor","48104","Drive approach replacement","(8/24/2020 5:23 PM AMKR)
Closed Ahead signs, Lighted Arrow Board, Cones

(8/25/2020 8:03 AM MB)
will send payment coversheet.","0","38.75","38.75","COMISH LARA","-83.73299","42.26033"
"SOIL20-0122","2020-08-24 00:00:00","2020-10-01 00:00:00","2020-10-02 00:00:00","","2021-03-31 00:00:00","","BLDG20-1288","SOIL EROSION","RESIDENTIAL","ISSUED","","","WESTAIRE TERRACE","","09-09-19-200-008","2331 MILLER AVE","","Ann Arbor","48103","Construct 20x24 garage and remove/replace driveway","","0","350","350","Marinelli Louis Anthony","-83.77911","42.29376"
"PLUM20-1325","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-10-30 00:00:00","","","BLDG20-0858","PLUMBING","PLUMBING","FINALED","","","JOHN KOCH SUB-DIVI","","09-09-29-333-002","203 KOCH AVE","","Ann Arbor","48103","Add bath to first floor","","0","145","145","Wenzel Plbg Inc","-83.75094","42.27176"
"PLUM20-1326","2020-08-24 00:00:00","","","","","","","PLUMBING","PLUMBING","UNDER REVIEW","R1C","","SMOKLER BOLGOS SUB","","09-09-14-212-020","3382 BLUETT DR","","Ann Arbor","48105","Replace laundry tub","(10/16/2020 4:51 PM JHY)
mitch is disputing wwp fee and asked me not to take payment","0","195","0","Mitch The Plumber","-83.69473","42.31406"
"PLUM20-1327","2020-08-24 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-25 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R1C","","LAUREL HILLS SUBDI","","09-09-31-406-006","1515 NORMANDY RD","","Ann Arbor","48103","Replace valves before and after meter","","0","65","65","Sinks to Sewers","-83.76577","42.25902"
"PLUM20-1329","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-31 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R1C","","SUNNYSIDE","","09-09-31-415-006","1507 GRANADA AVE","","Ann Arbor","48103","Water heater","","0","65","65","Dynamic Drains LLC","-83.76947","42.26196"
"MECH20-1856","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-08-31 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4A","","","","09-09-14-100-429","3560 BURBANK DR","","Ann Arbor","48105","Replace furance and A/C","","0","140","140","Elford's Heating & Cooling LLC","-83.68976","42.31491"
